Sorszám;Megye;Járás;Járáshoz tartozó települések
23.;;Gyomaendrõd;Bucsa, Csárdaszállás, Dévaványa, Ecsegfalva, Gyomaendrõd,  Hunya, Kertészsziget, Körösladány        
24.;;Gyula;Elek, Gyula, Kétegyháza, Lõkösháza
25.;;Mezõkovácsháza; Almáskamarás, Battonya, Dombegyház, Dombiratos, Kaszaper, Kevermes, Kisdombegyház, Kunágota, Magyarbánhegyes, Magyardombegyház, Medgyesbodzás, Medgyesegyháza, Mezõhegyes, Mezõkovácsháza, Nagybánhegyes, Nagykamarás, Pusztaottlaka,Végegyháza
26.;;Orosháza;Békéssámson, Csanádapáca,  Gádoros,  Kardoskút, Nagyszénás, Orosháza, Pusztaföldvár, Tótkomlós
27.;;Sarkad;Biharugra, Geszt, Körösnagyharsány, Kötegyán, Méhkerék, Mezõgyán, Sarkad, Sarkadkeresztúr, Újszalonta, Zsadány
28.;;Szarvas;Békésszentandrás, Csabacsûd, Kardos, Örménykút, Szarvas
29.;;Szeghalom;Füzesgyarmat,  Körösújfalu, Szeghalom, Okány, Vésztõ 
30.;Borsod-Abaúj-Zemplén;Encs;Abaújalpár, Abaújkér, Abaújszántó, Alsógagy,  Arka, Baktakék, Beret, Boldogkõújfalu, Boldogkõváralja, Büttös, Csenyéte, Csobád, Detek, Encs, Fáj, Fancsal, Felsõgagy, Forró, Fulókércs, Gagyapáti, Garadna, Gibárt, Hernádbûd, Hernádcéce, Hernádpetri, Hernádszentandrás, Hernádvécse, Ináncs, Kány, Keresztéte,  Krasznokvajda, Litka, Méra, Novajidrány, Pamlény, Pere, Perecse, Pusztaradvány, Szalaszend, Szászfa, Szemere
31.;;Gönc;Abaújvár, Fony, Gönc, Göncruszka, Hejce, Hernádszurdok, Hidasnémeti, Kéked, Korlát, Mogyoróska, Pányok, Regéc, Telkibánya, Tornyosnémeti, Vilmány, Vizsoly, Zsujta
32.;;Kazincbarcika;Alacska, Bánhorváti, Berente, Dédestapolcsány, Izsófalva,  Kazincbarcika, Kurityán, Mályinka, Múcsony, Nagybarca, Ormosbánya,  Rudolftelep, Sajókápolna, Sajólászlófalva, Sajószentpéter, Szuhakálló, Tardona
33.;;Mezõcsát;Ároktõ, Gelej, Hejõpapi, Igrici, Mezõcsát,  Tiszadorogma, Tiszakeszi, Tiszatarján
34.;;Mezõkövesd;Bogács, Borsodgeszt, Borsodivánka, Bükkábrány, Bükkzsérc, Cserépfalu, Cserépváralja, Csincse, Egerlövõ, Kács, Mezõkeresztes, Mezõkövesd, Mezõnagymihály, Mezõnyárád, Négyes, Sály, Szentistván, Szomolya, Tard, Tibolddaróc, Tiszabábolna,Tiszavalk, Vatta
35.;;Miskolc; Alsózsolca, Arnót, Berzék, Boldva, Bõcs, Bükkaranyos, Bükkszentkereszt, Emõd, Felsõzsolca, Gesztely, Harsány, Hejõkeresztúr, Hernádkak, Hernádnémeti, Kisgyõr, Kistokaj, Kondó, Köröm, Mályi, Miskolc, Nyékládháza, Onga, Ónod, Parasznya, Radostyán, Répáshuta, Sajóbábony, Sajóecseg, Sajóhídvég,  Sajókeresztúr, Sajólád,  Sajópálfala, Sajópetri, Sajósenye,  Sajóvámos, Sóstófalva, Szirmabesenyõ, Újcsanálos, Varbó
36.;;Ózd;Arló,  Borsodbóta, Borsodnádasd, Borsodszentgyörgy, Bükkmogyorósd, Csernely, Csokvaomány, Domaháza, Farkaslyuk,  Hangony,  Járdánháza,   Kissikátor, Lénárddaróc, Nekézseny, Ózd,  Sáta,  Uppony
37.;;Putnok;Aggtelek, Alsószuha, Bánréve, Dövény, Dubicsány, Felsõkelecsény, Felsõnyárád, Gömörszõlõs, Hét, Imola, Jákfalva, Jósvafõ, Kánó, Kelemér, Királd, Putnok, Ragály, Sajógalgóc, Sajóivánka, Sajókaza, Sajómercse, Sajónémeti, Sajópüspöki,Sajóvelezd, Serényfalva, Suhafõ, Trizs, Zándorfalva, Zubony, Vadna
38.;;Tokaj;Bodrogkeresztúr, Bodrogkisfalud, Csobaj, Szegi, Szegilong, Taktabáj, Tarcal, Tiszaladány, Tiszatardos, Tokaj
39.;;Tiszaújváros;Girincs, Hejõbába, Hejõkürt, Hejõszalonta, Kesznyéten, Kiscsécs, Muhi, Nagycsécs, Nemesbikk, Oszlár, Sajóörös, Sajószöged, Szakáld, Tiszapalkonya, Tiszaújváros
40.;;Szikszó;Abaújlak, Abaújszolnok, Alsóvadász, Aszaló, Felsõdobsza, Felsõvadász, Gadna, Gagybátor, Gagyvendégi, Halmaj, Hernádkércs, Homrogd, Kázsmárk, Kiskinizs, Kupa, Léh, Monaj, Nagykinizs, Nyésta, Rásonysápberencs, Selyeb, Szentistvánbaksa, Szikszó
41.;;Szerencs;Alsódobsza, Bekecs, Golop, Legyesbénye, Mád, Megyaszó, Mezõzombor, Monok, Prügy, Rátka, Szerencs, Taktaharkány, Taktakenéz, Taktaszada, Tállya, Tiszalúc
42.;;Edelény;Abod, Alsótelkes, Balajt, Becskeháza,Bódvalenke, Bódvarákó, Bódvaszilas,Borsodszirák, Damak, Debréte, Edelény, Égerszög, Felsõtelkes, Galvács,Hangács, Hegymeg, Hidvégardó, Irota, ,Komjáti, Ládbesnyõ, Lak, Nyomár, Martonyi, Meszes, Perkupa, Rakaca, Rakacaszend, Rudabánya,  Szakácsi, Szalonna, Szendrõ, Szendrõlád, Szin, Szinpetri, Szögliget, Szõlõsardó, Szuhogy, Teresztenye, Tomor, Tornabarakony, Tornakápolna, Tornanádaska, Tornaszentandrás, Tornaszentjakab, Varbóc, Viszló, Ziliz 
43.;;Sárospatak;Baskó, Bodrogolaszi, Cigánd, Erdõbénye, Erdõhorváti, Györgytarló, Háromhuta, Hercegkút, Kenézlõ, Komlóska, Makkoshotyka, Olaszliszka, Sárazsadány, Sárospatak, Sima, Tiszacsermely, Tiszakarád, Tolcsva, Vajdácska, Vámosújfalu, Viss, Zalkod
44.;;Sátoraljaújhely;Alsóberecki, Alsóregmec, Bodroghalom, Bózsva, Dámóc, Felsõberecki, Felsõregmec, Filkeháza, Füzér, Füzérkajata, Füzérkomlós, Füzérradvány, Hollóháza, Karcsa, Karos, Kishuta, Kisrozvágy, Kovácsvágás, Lácacséke, Mikóháza, Nagyhuta, Nagyrozvágy, Nyíri, Pácin, Pálháza, Pusztafalu, Révleányvár, Ricse, Sátoraljaújhely, Semjén, Vágáshuta, Vilyvitány, Zemplénagárd
45.;Budapest;Észak-budai;I. kerület, II. kerület, III. kerület
46.;;Dél-budai;XI. kerület, XII. kerület, XXII. Kerület
47.;;Nyugat-pesti;V. kerület, XIII. kerület, IV. kerület
48.;;Belsõ-pesti;VI. kerület, VII. kerület, VIII. kerület, IX. kerület
49.;;Észak-pesti;XIV. kerület, XV. kerület, XVI. kerület
50.;;Kelet-pesti;X. kerület, XVII. kerület, XVIII. kerület
51.;;Dél-pesti;XIX. kerület, XX. kerület,XXI. kerület, XXIII. kerület
52.;Csongrád;Csongrád;Csanytelek, Csongrád, Felgyõ, Tömörkény
53.;;Hódmezõvásárhely;Hódmezõvásárhely, Mártély, Mindszent, Székkutas
54.;;Kistelek;Baks, Balástya, Csengele, Kistelek, Ópusztaszer, Pusztaszer
55.;;Makó;Ambrózfalva, Apátfalva, Csanádalberti, Csanádpalota,  Földeák, Királyhegyes, Kiszombor, Kövegy, Magyarcsanád, Makó, Maroslele, Nagyér, Nagylak, Óföldeák, Pitvaros
56.;;Mórahalom;Ásotthalom,  Bordány, Forráskút, Mórahalom, Öttömös,  Pusztamérges, Ruzsa, Üllés, Zákányszék
57.;;Szeged;Algyõ,  Deszk, Dóc, Domaszék, Ferencszállás,  Klárafalva, Kübekháza, Röszke, Sándorfalva, Szatymaz, Szeged, Tiszasziget, Újszentiván,  Zsombó 
58.;;Szentes;Árpádhalom, Derekegyház, Eperjes, Fábiánsebestyén, Nagymágocs, Nagytõke, Szegvár, Szentes
59.;Fejér;Bicske;Alcsútdoboz, Bicske, Bodmér, Csabdi, Csákvár, Etyek, Felcsút, Mány,Óbarok, Szár, Tabajd, Újbarok, Vál, Vértesacsa, Vértesboglár
60.;;Dunaújváros;Adony, Baracs, Daruszentmiklós, Dunaújváros, Elõszállás, Kisapostag, Kulcs, Mezõfalva, Nagykarácsony, Nagyvenyim, Perkáta, Rácalmás
61.;;Enying;Dég, Enying, Lajoskomárom, Mezõkomárom, Szabadhídvég
62.;;Martonvásár;Baracska, Beloiannisz, Besnyõ, Ercsi, Gyúró, Iváncsa, Kajászó, Martonvásár,  Ráckeresztúr, Tordas
63.;;Gárdony; Gárdony, Kápolnásnyék, Nadap, Pázmánd, Pusztaszabolcs, Szabadegyháza, Velence, Vereb, Zichyújfalu
64.;;Mór;Bakonycsernye, Balinka, Bodajk, Csákberény, Csókakõ, Fehérvárcsurgó, Isztimér, Kincsesbánya, Magyaralmás, Mór, Nagyveleg, Pusztavám, Söréd
65.;;Polgárdi;Csõsz, Füle, Jenõ, Kisláng, Kõszárhegy, Lepsény, Mátyásdomb, Mezõszentgyörgy, Nádasdladány, Polgárdi, Sárkeszi, Tác      
66.;;Sárbogárd;Alap, Alsószentiván, Cece, Hantos, Igar, Káloz, Mezõszilas, Nagylók, Sárbogárd, Sáregres, Sárkeresztúr, Sárszentágota, Vajta
67.;;Székesfehérvár;Aba, Bakonykúti, Csór,  Gánt,  Iszkaszentgyörgy,   Lovasberény,  Moha,   Pákozd, Pátka, Sárkeresztes, Sárosd, Sárszentmihály, Seregélyes, Soponya, Sukoró, Szabadbattyán,  Székesfehérvár, Úrhida, Zámoly                      
68.;Gyõr-Moson-Sopron;Csorna;Acsalag, , Bágyogszovát, Barbacs, Bezi,  Bogyoszló, Bõsárkány, Cakóháza, Csorna, Dör, Egyed, Farád, Fehértó,Gyõrsövényház, Jobaháza,  Kóny, Maglóca, Magyarkeresztúr, Markotabödöge,  Páli, Pásztori, Potyond, Rábacsanak,  Rábapordány, Rábasebes, Rábaszentandrás,Rábatamási, Rábcakapi, Sopronnémeti, Szany, Szil, Szilsárkány, Tárnokréti, Vág, Zsebeháza
69.;;Gyõr;Abda,  Bõny, Börcs,  Dunaszeg, Dunaszentpál,  Enese, Gönyû,  Gyõr,  Gyõrladamér,  Gyõrújbarát, Gyõrújfalu, Gyõrzámoly, Ikrény,  Kisbajcs, Koroncó, Kunsziget, Mezõörs, Nagybajcs, Nagyszentjános,  Nyúl, Öttevény, Pér, Rábapatona, Rétalap, Töltéstava, Vámosszabadi, Vének
70.;;Kapuvár;Agyagosszergény, Babót, Beled, Cirák, Csáfordjánosfa, Csapod, , Dénesfa, Edve, Fertõendréd, Gyóró, Himod, Hövej,  Kapuvár, Kisfalud, Mihályi, Osli,   Rábakecöl, Répceszemere, Szárföld, Vadosfa, Vásárosfalu,  Veszkény,Vitnyéd
71.;;Mosonmagyaróvár;Ásványráró, Bezenye, Darnózseli, Dunakiliti, Dunaremete, Dunasziget, Feketeerdõ, Halászi, Hédervár, Hegyeshalom, Jánossomorja, Károlyháza, Kimle, Kisbodak, Lébény, Levél, Lipót, Máriakálnok, Mecsér, Mosonmagyaróvár, Mosonszolnok, Mosonszentmiklós, Mosonudvar, Püski,  Rajka, Újrónafõ, Várbalog
72.;;Sopron;Ágfalva, Csér,Ebergõc, Egyházasfalu, Fertõboz, Fertõd, Fertõhomok, Fertõrákos, Fertõszentmiklós,Fertõszéplak, Gyalóka, Harka,   Hegykõ, Hidegség, Iván, Kópháza, Lövõ, Nagycenk, Nagylózs, Nemeskér, Pereszteg, Petõháza, Pinnye, Pusztacsalád, Répcevis,  Röjtökmuzsaj, Sarród, Sopron,  Sopronhorpács, Sopronkövesd, Szakony, Újkér, Und, Völcsej, Zsira
73.;;Tét;Árpás, Bodonhely, Csikvánd, Felpéc, Gyarmat, Gyömöre, Gyõrszemere, Kajárpéc, Kisbabot, Mérges, Mórichida, Rábacsécsény, Rábaszentmihály, Rábaszentmiklós, Sobor, Sokorópátka, Szerecseny,Tényõ, Tét
74.;;Pannonhalma;Bakonygyirót, Bakonypéterd, Bakonyszentlászló, Écs, Fenyõfõ, Gyõrasszonyfa, Gyõrság, Lázi, Nyalka, Pannonhalma, Pázmándfalu, Ravazd, Románd, Sikátor, Táp, Tápszentmiklós, Tarjánpuszta, Veszprémvarsány
75.;Hajdú-Bihar;Balmazújváros;Balmazújváros, Egyek, Hortobágy, Tiszacsege, Újszentmargita
76.;;Berettyóújfalu;Ártánd, Bakonszeg, Bedõ, Berekböszörmény, Berettyóújfalu, Biharkeresztes,  Bojt, Csökmõ,  Darvas,   Furta, Gáborján, Hencida, Kismarja, Komádi,  Körösszakál, Körösszegapáti, Magyarhomorog, Mezõpeterd,  Mezõsas, Nagykereki,    Szentpéterszeg,  Told,Újiráz,  Váncsod, Vekerd, Zsáka
77.;;Debrecen;Debrecen, Ebes,  Hajdúsámson,  Mikepércs
78.;;Hajdúböszörmény;Hajdúböszörmény, Hajdúdorog
79.;;Hajdúhadház;Hajdúhadház, Téglás, Bocskaikert
80.;;Nyíradony;Nyíradony, Nyírmártonfalva, Nyíracsád, Fülöp, Vámospércs, Nyírábrány, Újléta,Bagamér, Álmosd
81.;;Hajdúszoboszló;Hajdúszoboszló, Hajdúszovát, Kaba, Nádudvar, Nagyhegyes, Tetétlen
82.;;Derecske;Kokad, Létavértes, Derecske, Tépe, Konyár, Esztár, Pocsaj, Sáránd, Hajdúbagos, Hosszúpályi, Monostorpályi
83.;;Hajdúnánás; Folyás,  Görbeháza, Hajdúnánás, Polgár,  Tiszagyulaháza,  Újtikos
84.;;Püspökladány;Báránd,  Bihardancsháza,Bihartorda, Biharnagybajom, Földes,Nagyrábé, Püspökladány, Sáp, Sárrétudvari, Szerep
85.;Heves;Bélapátfalva;Balaton, Bekölce, Bélapátfalva, Bükkszentmárton, Mikófalva, Mónosbél, Nagyvisnyó, Szilvásvárad
86.;;Eger;Andornaktálya, Bátor,  Demjén, Eger, Egerbakta, Egerbocs, Egercsehi, Egerszalók,Egerszólát, Feldebrõ, Felsõtárkány,  Hevesaranyos, Kerecsend, Maklár,  Nagytálya, Noszvaj, Novaj, Ostoros,  Szarvaskõ, Szúcs, Tarnaszentmária, Verpelét
87.;;Füzesabony;Aldebrõ, Besenyõtelek, Dormánd, Egerfarmos, Füzesabony, Kál, Kápolna, Kompolt, Mezõszemere, Mezõtárkány, Nagyút, Poroszló,Sarud,  Szihalom, Tófalu, Újlõrincfalva
88.;;Gyöngyös;Abasár, Adács, Atkár, Detk, Domoszló, Gyöngyös, Gyöngyöshalász, Gyöngyösoroszi,Gyöngyöspata,  Gyöngyössolymos, Gyöngyöstarján, Halmajugra, Karácsond, Kisnána, Ludas, Markaz, Mátraszentimre, Nagyfüged, Nagyréde, Pálosvörösmart,  Vámosgyörk, Vécs, Visonta, Visznek
89.;;Hatvan;Apc, Boldog, Csány, Ecséd, Hatvan, Heréd, Hort, Kerekharaszt, Lõrinci, Nagykökényes, Petõfibánya, Rózsaszentmárton, Szûcsi, Zagyvaszántó
90.;;Heves;Átány, Boconád, Erdõtelek, Erk, Heves, Hevesvezekény, Kisköre, Kömlõ, Pély, Tarnabod, Tarnaméra, Tarnaörs, Tarnaszentmiklós, Tarnazsadány, Tenk, Tiszanána, Zaránk
91.;;Pétervására;Bodony, Bükkszék, Bükkszenterzsébet, Erdõkövesd, Fedémes, Istenmezeje, Ivád, Kisfüzes, Mátraballa, Mátraderecske, Parád, Parádsasvár, Pétervására, Recsk, Sirok,Szajla, Szentdomonkos, Tarnalelesz, Terpes, Váraszó
92.;Jász-Nagykun-Szolnok;Jászberény; Jászágó,   Jászárokszállás, Jászberény, Jászfelsõszentgyörgy, Jászfényszaru,  Jásztelek, Pusztamonostor
93.;;Karcag;Berekfürdõ, Karcag, Kenderes, Kisújszállás, Kunmadaras
94.;;Kunszentmárton;Cibakháza, Csépa, Cserkeszõlõ, Kunszentmárton,  Nagyrév, Öcsöd, Szelevény, Tiszaföldvár, Tiszainoka, Tiszakürt, Tiszasas
95.;;Mezõtúr;Mesterszállás, Mezõhék, Mezõtúr, Kétpó, Túrkeve
96.;;Szolnok;Besenyszög, Csataszög, Hunyadfalva, Kõtelek, Martfû, Nagykörû, Rákóczifalva, Rákócziújfalu, Szajol, Szászberek, Szolnok, Tiszajenõ, Tiszasüly, Tiszavárkony, Tószeg, Újszász, Vezseny, Zagyvarékas
97.;;Tiszafüred;Nagyiván,  Tiszaderzs, Tiszafüred, Tiszaigar, Tiszaörs, Tiszaszentimre, Tiszaszõlõs, Tomajmonostora
98.;;Törökszentmiklós;Fegyvernek, Kengyel, Kuncsorba,  Örményes,  Tiszapüspöki, Tiszatenyõ, Törökszentmiklós
99.;;Kunhegyes;Abádszalók, Kunhegyes, Tiszabura, Tiszaroff, Tiszagyenda, Tiszabõ
100.;;Jászapáti;Jászapáti, Jászdózsa, Jászszentandrás, Jászjákóhalma, Jászivány, Alattyán, Jászalsószentgyörgy, Jászkisér, Jánoshida, Jászboldogháza, Jászladány
101.;Komárom-Esztergom;Esztergom;Annavölgy, Bajna, Bajót, Csolnok, Dág, Dorog,Dömös, Epöl, Esztergom, Kesztölc, Lábatlan, Leányvár, Máriahalom, Mogyorósbánya, Nagysáp, Nyergesújfalu, Piliscsév, Pilismarót, Sárisáp,Tát, Tokod, Tokodaltáró, Úny
102.;;Kisbér;Ácsteszér, Aka, Ászár, Bakonybánk, Bakonysárkány, Bakonyszombathely, Bársonyos,  Csatka, Csép, Ete, Kerékteleki, Kisbér, Réde, Súr, Tárkány, Vérteskethely
103.;;Komárom;Ács, Almásfüzitõ, Bábolna, Bana, Csém, Kisigmánd, Komárom, Mocsa, Nagyigmánd
104.;;Oroszlány;Bokod, Dad,Császár,Kecskéd,Kömlõd, Oroszlány, Szákszend
105.;;Tata;Baj, Dunaalmás, Dunaszentmiklós, Kocs, Naszály, Neszmély, Süttõ, Szomód, Tardos, Tata, Vértestolna
106.;;Tatabánya; Gyermely, Héreg,  Környe, Szárliget, Szomor, Tarján, Tatabánya, Várgesztes, Vértessomló, Vértesszõlõs
107.;Nógrád;Balassagyarmat;Balassagyarmat, Becske, Bercel, Cserháthaláp, Cserhátsurány, Csesztve, Csitár, Debercsény, Dejtár, Drégelypalánk, Érsekvadkert, Galgaguta, Herencsény, Hont, Hugyag, Iliny, Ipolyszög, Ipolyvece, Magyarnándor, Mohora, Nógrádkövesd, Nógrádmarcal, Õrhalom, Patak, Patvarc, Szanda, Szügy, Terény
108.;;Bátonyterenye;Bátonyterenye, Dorogháza, Mátramindszent, Mátraverebély, Nemti, Szuha
109.;;Pásztó;Alsótold, Bér, Bokor, Buják, Csécse, Cserhátszentiván, Ecseg, Egyházasdengeleg, Erdõkürt, Erdõtarcsa, Felsõtold, Garáb, Héhalom, Jobbágyi, Kálló, Kisbágyon, Kozárd, Kutasó, Mátraszõlõs, Palotás, Pásztó, Sámsonháza, Szarvasgede, Szirák, Szurdokpüspöki, Tar, Vanyarc
110.;;Rétság;Alsópetény, Bánk, Berkenye, Borsosberény, Diósjenõ, Felsõpetény, Horpács, Keszeg, Kétbodony, Kisecset, Legénd, Nagyoroszi, Nézsa, Nógrád, Nógrádsáp, Nõtincs, Õsagárd, Pusztaberki, Rétság, Romhány, Szátok, Szécsénke, Szendehely, Szente, Tereske, Tolmács
111.;;Salgótarján;Bárna, Cered, Egyházasgerge, Etes, Karancsalja, Karancsberény, Karancskeszi, Karancslapujtõ, Karancsság, Kazár, Kisbárkány, Kishartyán, Lucfalva, Márkháza, Mátranovák, Mátraszele, Mátraterenye, Mihálygerge, Nagybárkány, Nagykeresztúr, Nógrádmegyer, Rákóczibánya, Ságújfalu, Salgótarján, Somoskõújfalu, Sóshartyán, Szalmatercs, Szilaspogony, Vizslás, Zabar
112.;;Szécsény;Endrefalva, Hollókõ, Ipolytarnóc, Litke, Ludányhalászi, Magyargéc, Nagylóc, Nógrádsipek, Nógrádszakál, Piliny, Rimóc, Szécsény, Szécsényfelfalu, Varsány
113.;Pest;Budakeszi;Biatorbágy, Budajenõ, Budakeszi, Budaörs, Herceghalom, Nagykovácsi, Páty, Remeteszõlõs, Telki, Törökbálint, Zsámbék
114.;;Cegléd;Abony, Albertirsa, Cegléd, Ceglédbercel, Csemõ, Dánszentmiklós, Jászkarajenõ, Kocsér, Kõröstetétlen, Mikebuda, Nagykõrös,Nyársapát, Tápiószõlõs, Törtel, Újszilvás
115.;;Dabas;Bugyi, Dabas, Hernád, Inárcs, Kakucs, Örkény, Pusztavacs, Táborfalva, Tatárszentgyörgy, Újhartyán, Újlengyel
116.;;Dunakeszi;Csomád, Dunakeszi, Fót, Göd, Mogyoród
117.;;Érd;Diósd, Érd, Pusztazámor, Sóskút, Százhalombatta, Tárnok
118.;;Gödöllõ;Aszód, Bag, Csömör, Dány, Domony, Erdõkertes, Galgahévíz, Galgamácsa, Gödöllõ, Hévízgyörk, Iklad, Isaszeg, Kartal, Kerepes, Kistarcsa, Nagytarcsa, Õrbottyán, Pécel, Szada, Tura, Vácegres, Váckisújfalu, Vácszentlászló, Valkó, Veresegyház, Verseg, Zsámbok
119.;;Gyál;Alsónémedi, Ecser, Felsõpakony, Gyál, Ócsa, Vecsés
